,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
182943,91949,Paolo Passerini,M,26.0,175.0,76.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,
182946,91952,Johann Passler,M,22.0,178.0,78.0,Italy,ITA,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 10 kilometres Sprint,
182947,91952,Johann Passler,M,22.0,178.0,78.0,Italy,ITA,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
182948,91952,Johann Passler,M,26.0,178.0,78.0,Italy,ITA,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 10 kilometres Sprint,
182949,91952,Johann Passler,M,26.0,178.0,78.0,Italy,ITA,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 20 kilometres,Bronze
182950,91952,Johann Passler,M,26.0,178.0,78.0,Italy,ITA,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
182951,91952,Johann Passler,M,30.0,178.0,78.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 10 kilometres Sprint,
182952,91952,Johann Passler,M,30.0,178.0,78.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 20 kilometres,
182953,91952,Johann Passler,M,30.0,178.0,78.0,Italy,ITA,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
182954,91952,Johann Passler,M,32.0,178.0,78.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,
182955,91952,Johann Passler,M,32.0,178.0,78.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
182964,91958,Gaspare Pasta,M,,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,
182975,91964,Gianpiero Pastore,M,24.0,180.0,78.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Team",
182976,91964,Gianpiero Pastore,M,28.0,180.0,78.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",
182977,91964,Gianpiero Pastore,M,28.0,180.0,78.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",Silver
182978,91964,Gianpiero Pastore,M,32.0,180.0,78.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Bronze
182979,91965,Manlio Pastorini,M,40.0,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Gold
182980,91966,Giacomo Pastorino,M,32.0,191.0,89.0,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver
182981,91967,Pietro Pastorino,M,23.0,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,
182982,91967,Pietro Pastorino,M,23.0,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,
182983,91968,R. Pastorino,M,,,,Italy,ITA,1906 Summer,1906,Summer,Athina,Shooting,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",
183069,92006,Alessandra Patelli,F,24.0,180.0,70.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,
183076,92011,Luigi Paterlini,M,24.0,,,Italy,ITA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
183088,92017,Paola Paternoster (-Carotenuto),F,20.0,180.0,75.0,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Discus Throw,
183089,92017,Paola Paternoster (-Carotenuto),F,20.0,180.0,75.0,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,
183090,92017,Paola Paternoster (-Carotenuto),F,24.0,180.0,75.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's Discus Throw,
183092,92019,Verusca Paternoster,F,27.0,160.0,55.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,
183167,92065,Camilla Patriarca,F,21.0,170.0,50.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
183180,92075,Claudio Patrignani,M,25.0,179.0,65.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",
183181,92076,Gianni Patrignani,M,,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
183207,92096,Francesca Pattaro,F,21.0,170.0,58.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,
183547,92256,Francesca Pavan,F,29.0,173.0,65.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,
183549,92258,Camillo Pavanello,M,20.0,,,Italy,ITA,1900 Summer,1900,Summer,Paris,Gymnastics,Gymnastics Men's Individual All-Around,
183550,92259,Decio Pavani,M,16.0,,,Italy,ITA,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,
183580,92273,Attilio Pavesi,M,21.0,167.0,,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",Gold
183581,92273,Attilio Pavesi,M,21.0,167.0,,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Team",Gold
183582,92274,Carlo Pavesi,M,29.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Individual",
183583,92274,Carlo Pavesi,M,29.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Team",Gold
183584,92274,Carlo Pavesi,M,33.0,,,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Individual",Gold
183585,92274,Carlo Pavesi,M,33.0,,,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Fencing,"Fencing Men's epee, Team",Gold
183586,92274,Carlo Pavesi,M,37.0,,,Italy,ITA,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",Gold
183587,92275,Donato Pavesi,M,30.0,176.0,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 3,000 metres Walk",
183588,92275,Donato Pavesi,M,30.0,176.0,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 10 kilometres Walk,
183589,92275,Donato Pavesi,M,34.0,176.0,,Italy,ITA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 10 kilometres Walk,
183747,92350,Martin Pavlu,M,21.0,188.0,81.0,Italy,ITA,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,
183748,92350,Martin Pavlu,M,31.0,188.0,81.0,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,
183749,92350,Martin Pavlu,M,35.0,188.0,81.0,Italy,ITA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,
183760,92359,Pier-Francesco Pavoni,M,21.0,182.0,70.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,
183761,92359,Pier-Francesco Pavoni,M,25.0,182.0,70.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,
