,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
72998,37100,Per Erik Fresk,M,27.0,180.0,65.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Mixed Jumping, Team",
73054,37132,Heino Ado Freyberg,M,41.0,182.0,85.0,Sweden-1,SWE,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Two,
73055,37132,Heino Ado Freyberg,M,41.0,182.0,85.0,Sweden,SWE,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,
73074,37144,Daniel Joel Friberg,M,23.0,183.0,83.0,Sweden,SWE,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,500 metres",
73075,37144,Daniel Joel Friberg,M,23.0,183.0,83.0,Sweden,SWE,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),
73076,37145,Sven Richard Friberg,M,29.0,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Bronze
73077,37146,Johan Erik Friborg,M,19.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Cycling,"Cycling Men's Road Race, Individual",
73078,37146,Johan Erik Friborg,M,19.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Cycling,"Cycling Men's Road Race, Team",Gold
73094,37159,Knut Hilding Fridell,M,27.0,,,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
73197,37206,Gudrun Kristina Fries,F,21.0,179.0,81.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
73198,37206,Gudrun Kristina Fries,F,26.0,179.0,81.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",
73298,37250,Erik Ferdinand Frisell,M,23.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 800 metres,
73299,37251,Erik Hjalmar Frisell,M,31.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Running Target, Double Shot",
73300,37251,Erik Hjalmar Frisell,M,31.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Shooting,Shooting Men's Trap,
73301,37251,Erik Hjalmar Frisell,M,31.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Trap, Team",
73316,37260,Anna Katarina Elisabet Frithioff (-Johansson),F,31.0,173.0,63.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
73317,37260,Anna Katarina Elisabet Frithioff (-Johansson),F,31.0,173.0,63.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
73318,37260,Anna Katarina Elisabet Frithioff (-Johansson),F,31.0,173.0,63.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,
73319,37260,Anna Katarina Elisabet Frithioff (-Johansson),F,31.0,173.0,63.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
73342,37274,Claes Jesper Fritz,M,22.0,185.0,79.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,
73356,37280,Anna-Lena Katarina Fritzon,F,22.0,169.0,60.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
73357,37280,Anna-Lena Katarina Fritzon,F,22.0,169.0,60.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
